Guven_Derecesi,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
T_Cok_Guvenli,11.2,10.2,8.59,9.1,7.05,7.84,5.67,7.91,8.05,11.07
T_Guvenli,48.6,48.6,51.3,50.9,49.47,51.23,51.41,51.14,53.47,48.1
T_Notr,15.4,17.8,14.52,15.1,16.28,14.72,15,15.07,15.05,21.74
T_Guvensiz,19.2,18.3,18.46,17.8,20.62,20.42,21.84,19.99,18.67,13.97
T_Cok_Guvensiz,5.7,5.1,7.13,7.2,6.58,5.79,6.08,5.89,4.77,5.11
E_Cok_Guvenli,15.4,14.1,12.66,12.6,10.55,10.82,8.57,11.39,11.36,15.77
E_Guvenli,55,56.8,59.17,57.1,58.83,60.16,60.27,60.64,62.46,54.11
E_Notr,16.1,16.8,14.3,15.3,15.74,13.85,14.78,13.74,13.51,19.4
E_Guvensiz,11.7,10.1,10.85,11.5,11.94,12.97,13.87,12.17,10.68,8.07
E_Cok_Guvensiz,1.8,2.2,3.02,3.4,2.94,2.2,2.52,2.05,2,2.65
K_Cok_Guvenli,7.1,6.4,4.63,5.7,3.65,4.94,2.84,4.53,4.84,6.48
K_Guvenli,42.4,40.7,43.67,44.9,40.39,42.55,42.77,41.9,44.73,42.23
K_Notr,14.7,18.7,14.73,14.8,16.8,15.57,15.21,16.35,16.54,24.04
K_Guvensiz,26.4,26.2,25.85,23.8,29.05,27.67,29.62,27.6,26.44,19.74
K_Cok_Guvensiz,9.4,8,11.12,10.8,10.11,9.29,9.56,9.62,7.45,7.52
