Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Istanbul ,2020,Erkek,1026,5055,820,811,520,6306,1954,2621,14,310,1655,916
Istanbul ,2020,Kadın,26,123,6,16,32,487,131,20,25,12,9,25
Tekirdag,2020,Erkek,71,453,76,60,46,509,63,125,0,16,65,97
Tekirdag,2020,Kadın,3,7,0,2,1,23,10,1,0,1,0,2
Edirne,2020,Erkek,39,260,39,28,28,226,58,70,0,44,32,49
Edirne,2020,Kadın,0,7,0,1,2,11,8,0,0,0,1,1
Kirklareli ,2020,Erkek,22,221,36,21,16,193,39,34,2,10,19,56
Kirklareli ,2020,Kadın,1,3,0,1,0,14,2,1,0,0,0,1
Balikesir                  ,2020,Erkek,101,939,110,95,85,649,119,95,2,33,137,213
Balikesir                  ,2020,Kadın,3,29,1,4,5,73,14,0,0,3,0,6
Canakkale,2020,Erkek,30,271,23,28,35,245,21,55,0,13,29,87
Canakkale,2020,Kadın,2,5,0,1,1,21,4,1,0,0,1,4
İzmir ,2020,Erkek,357,2422,352,221,353,2804,577,1650,5,257,468,586
İzmir ,2020,Kadın,14,71,2,2,21,185,48,15,3,9,5,15
Aydin,2020,Erkek,110,909,102,82,116,835,141,412,3,50,134,235
Aydin,2020,Kadın,3,26,0,3,5,60,9,26,1,0,2,10
Denizli ,2020,Erkek,80,724,67,85,99,667,133,201,1,38,126,215
Denizli ,2020,Kadın,3,22,0,2,5,54,15,16,0,1,0,7
Mugla,2020,Erkek,100,668,69,75,91,437,177,106,2,59,81,190
Mugla,2020,Kadın,3,29,1,2,2,38,1,3,1,2,1,6
Manisa,2020,Erkek,168,1044,121,124,118,795,171,184,0,73,118,286
Manisa,2020,Kadın,6,28,1,1,4,33,12,3,1,1,0,13
Afyonkarahisar  ,2020,Erkek,95,463,47,49,40,310,73,58,2,21,38,135
Afyonkarahisar  ,2020,Kadın,2,17,0,1,0,23,9,5,1,2,1,5
Kutahya ,2020,Erkek,37,325,38,27,28,199,31,17,0,16,31,66
Kutahya ,2020,Kadın,2,13,0,0,2,19,2,0,0,2,1,2
Usak,2020,Erkek,39,271,31,31,35,135,66,49,0,21,40,62
Usak,2020,Kadın,0,10,0,0,1,17,10,0,0,0,0,1
Bursa,2020,Erkek,126,1455,188,158,151,1498,271,546,2,35,377,261
Bursa,2020,Kadın,3,47,0,8,10,121,54,16,2,1,6,13
Eskisehir                 ,2020,Erkek,56,539,42,29,48,345,59,55,0,12,81,82
Eskisehir                 ,2020,Kadın,2,13,0,0,4,61,15,3,1,1,1,4
Bilecik,2020,Erkek,11,108,22,21,8,81,12,13,1,8,13,23
Bilecik,2020,Kadın,0,9,0,0,7,10,0,2,0,1,0,0
Kocaeli ,2020,Erkek,89,723,125,121,86,729,311,124,0,41,175,153
Kocaeli ,2020,Kadın,4,21,0,4,4,70,9,3,0,2,0,3
Sakarya,2020,Erkek,85,552,72,88,67,472,83,149,1,48,171,128
Sakarya,2020,Kadın,3,7,2,6,1,47,5,0,3,2,1,7
Duzce,2020,Erkek,33,231,54,38,32,201,68,55,2,17,58,48
Duzce,2020,Kadın,0,3,0,1,1,7,2,3,0,0,1,1
Bolu,2020,Erkek,19,178,30,19,11,89,21,17,0,14,22,48
Bolu,2020,Kadın,1,5,0,0,1,9,3,0,0,0,0,0
Yalova,2020,Erkek,15,134,13,8,15,124,36,31,0,1,26,31
Yalova,2020,Kadın,0,1,0,0,0,13,4,0,0,0,0,0
Ankara ,2020,Erkek,278,2129,257,184,260,2169,692,315,3,87,446,358
Ankara ,2020,Kadın,8,46,3,5,19,147,42,13,3,2,4,18
Konya,2020,Erkek,199,1282,155,164,118,1153,302,361,1,71,226,342
Konya,2020,Kadın,8,39,0,4,8,63,41,18,0,4,3,15
Karaman,2020,Erkek,24,225,26,35,27,123,35,20,0,23,32,61
Karaman,2020,Kadın,1,4,1,3,1,7,0,0,0,0,0,2
Antalya,2020,Erkek,258,1882,236,221,218,2127,509,563,4,120,225,515
Antalya,2020,Kadın,8,59,2,12,12,173,48,32,2,3,2,25
Isparta,2020,Erkek,35,381,37,19,38,261,69,103,1,20,34,94
Isparta,2020,Kadın,2,15,1,2,1,19,6,11,0,0,1,9
Burdur,2020,Erkek,31,199,23,12,19,130,16,25,0,23,12,48
Burdur,2020,Kadın,3,9,0,2,0,6,1,1,0,0,0,1
Adana,2020,Erkek,247,1149,109,109,96,1384,657,292,11,162,335,269
Adana,2020,Kadın,5,18,0,6,8,52,21,12,5,6,5,12
Mersin,2020,Erkek,199,902,120,99,102,992,632,152,2,96,184,200
Mersin,2020,Kadın,4,24,0,5,9,67,21,7,2,5,5,9
Hatay,2020,Erkek,97,577,64,60,54,597,224,101,3,112,155,132
Hatay,2020,Kadın,3,13,1,0,1,28,18,3,0,6,1,4
Kahramanmaras,2020,Erkek,70,490,53,39,44,358,143,74,1,24,57,121
Kahramanmaras,2020,Kadın,0,10,1,2,1,22,12,2,0,0,0,8
Osmaniye,2020,Erkek,26,263,25,26,38,231,83,85,0,48,44,72
Osmaniye,2020,Kadın,0,15,0,1,1,18,5,0,0,5,0,1
Kirikkale,2020,Erkek,25,145,13,22,14,98,28,37,0,9,37,26
Kirikkale,2020,Kadın,0,5,0,0,1,21,2,1,0,1,0,1
Aksaray,2020,Erkek,33,270,29,35,32,176,57,106,0,46,36,97
Aksaray,2020,Kadın,2,9,1,2,0,15,5,2,0,2,0,3
Nigde,2020,Erkek,33,271,31,29,22,126,49,38,0,5,44,55
